block idx,date start,challenge item name,lexical item name,linguistic category,E/M/H,noise,un/trained,difficulty rating,distractor num,foil 1,foil 2,foil 3,foil 4,foil 5,accuracy,rt (sec),incorrect-foil name,incorrect-foil type,incorrect-foil p-type,
0,2016-11-02 13:05:33,The crowd,crowd,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,5.0225,,,,
0,2016-11-02 13:05:33,silver,silver,noun_2syll_word,Word,NoNoise,0,0.1,2,s1,p2,,,,0,11.9871,gold,s1,coord,
0,2016-11-02 13:05:33,the fly,fly,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s1,p3,,,,1,6.2354,,,,
0,2016-11-02 13:05:33,The cloud,cloud,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,8.2346,,,,
0,2016-11-02 13:05:33,lamb,lamb,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,4.0068,,,,
0,2016-11-02 13:05:33,cake,cake,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p3,,,,1,7.0076,,,,
0,2016-11-02 13:05:33,bed,bed,noun_1syll_word,Word,NoNoise,0,0.1,2,p3,s1,,,,0,7.0805,pyjamas,s1,assoc,
0,2016-11-02 13:05:33,wood,wood,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,p1,,,,0,9.7955,saw,s2,assoc,
0,2016-11-02 13:05:33,ring,ring,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,10.9083,bracelet,s1,assoc,
0,2016-11-02 13:05:33,the sauce,sauce,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,33.8787,the sword,p1,mp,
0,2016-11-02 13:05:33,pan,pan,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,8.6974,,,,
0,2016-11-02 13:05:33,fish,fish,noun_1syll_word,Word,NoNoise,0,0.1,2,p3,s2,,,,1,4.3658,,,,
0,2016-11-02 13:05:33,The mouth,mouth,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,14.3587,The eye,s1,assoc,
0,2016-11-02 13:05:33,The leg,leg,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,6.2798,,,,
0,2016-11-02 13:05:33,skin,skin,noun_1syll_word,Word,NoNoise,0,0.1322,2,p3,s2,,,,1,17.6261,,,,
1,2016-11-03 12:41:29,a roof,roof,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,8.1751,a chimney,s1,assoc,
1,2016-11-03 12:41:29,The corner,corner,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,p3,s1,,,,0,15.0692,The wall,s1,assoc,
1,2016-11-03 12:41:29,pop,pop,noun_1syll_word,Word,NoNoise,0,0.1322,2,p3,s2,,,,1,4.4591,,,,
1,2016-11-03 12:41:29,bag,bag,noun_1syll_word,Word,NoNoise,0,0.1322,2,p3,s2,,,,1,7.3288,,,,
1,2016-11-03 12:41:29,water,water,noun_2syll_word,Word,NoNoise,0,0.1,2,s1,p1,,,,1,6.3902,,,,
1,2016-11-03 12:41:29,cloud,cloud,noun_1syll_word,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,5.3206,,,,
1,2016-11-03 12:41:29,oil,oil,noun_2syll_word,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,4.8601,,,,
