linguistic category,block type,% corect,% incorrect-phonological,% incorrect-semantic,% incorrect-unrelated,
noun_1syll_word,unforced,9,8,1,0,0,88.89,11.11,0,0,
noun_1syll_word,forced,,,,,
noun_1syll_word,noise,,,,,
noun_1syll_phrase,unforced,4,3,0,1,0,75,0,25,0,
noun_1syll_phrase,forced,,,,,
noun_1syll_phrase,noise,,,,,
noun_2syll_word,unforced,2,2,0,0,0,100,0,0,0,
noun_2syll_word,forced,,,,,
noun_2syll_word,noise,,,,,
adj_intrans_sent,unforced,,,,,
adj_intrans_sent,forced,,,,,
adj_intrans_sent,noise,,,,,
