block idx,date start,challenge item name,lexical item name,linguistic category,E/M/H,noise,un/trained,difficulty rating,distractor num,foil 1,foil 2,foil 3,foil 4,foil 5,accuracy,rt (sec),incorrect-foil name,incorrect-foil type,incorrect-foil p-type,
0,2016-10-26 11:33:17,The crowd,crowd,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,7.4549,,,,
0,2016-10-26 11:33:17,golf,golf,noun_1syll_word,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,4.1437,,,,
0,2016-10-26 11:33:17,The pool,pool,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,3.948,,,,
0,2016-10-26 11:33:17,meal,meal,noun_1syll_word,Word,NoNoise,0,0.1322,2,p2,s2,,,,1,4.6412,,,,
0,2016-10-26 11:33:17,building,building,noun_2syll_word,Word,NoNoise,0,0.1,2,p2,s2,,,,1,5.9001,,,,
0,2016-10-26 11:33:17,The screen,screen,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,4.1016,,,,
0,2016-10-26 11:33:17,police,police,noun_2syll_word,Word,NoNoise,0,0.1,2,p1,s1,,,,1,3.3341,,,,
0,2016-10-26 11:33:17,The ship,ship,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,3.5556,,,,
0,2016-10-26 11:33:17,ball,ball,noun_1syll_word,Word,NoNoise,0,0.1,2,s1,p2,,,,1,5.0706,,,,
0,2016-10-26 11:33:17,face,face,noun_1syll_word,Word,NoNoise,0,0.1,2,p1,s2,,,,1,3.8513,,,,
0,2016-10-26 11:33:17,milk,milk,noun_1syll_word,Word,NoNoise,0,0.1322,2,p3,s1,,,,1,3.8867,,,,
0,2016-10-26 11:33:17,roof,roof,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,12.0029,,,,
0,2016-10-26 11:33:17,clothes,clothes,noun_1syll_word,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,4.5027,,,,
0,2016-10-26 11:33:17,picture,picture,noun_2syll_word,Word,NoNoise,0,0.1,2,p1,s1,,,,0,10.2398,camera,s1,assoc,
0,2016-10-26 11:33:17,child,child,noun_1syll_word,Word,NoNoise,0,0.1,2,p1,s3,,,,1,5.497,,,,
1,2016-10-26 13:37:05,the sauce,sauce,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,5.3599,,,,
1,2016-10-26 13:37:05,chocolate,chocolate,noun_2syll_word,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,7.9861,,,,
1,2016-10-26 13:37:05,The smoke,smoke,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,3.9839,,,,
1,2016-10-26 13:37:05,The town,town,noun_1syll_phrase,Word,NoNoise,0,0.1,2,s2,p3,,,,1,4.4871,,,,
1,2016-10-26 13:37:05,The orange,orange,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,6.0523,,,,
1,2016-10-26 13:37:05,The mouth,mouth,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,4.3316,,,,
1,2016-10-26 13:37:05,The bolt (lock),bolt (lock),noun_1syll_phrase,Word,NoNoise,0,0.1643,2,p2,s1,,,,1,4.6176,,,,
1,2016-10-26 13:37:05,crowd,crowd,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,4.5841,,,,
1,2016-10-26 13:37:05,hat,hat,noun_1syll_word,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,4.5607,,,,
1,2016-10-26 13:37:05,mate,mate,noun_1syll_word,Word,NoNoise,0,0.1375,2,s2,p1,,,,1,7.6841,,,,
1,2016-10-26 13:37:05,oven,oven,noun_2syll_word,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,5.4601,,,,
1,2016-10-26 13:37:05,village,village,noun_2syll_word,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,4.407,,,,
1,2016-10-26 13:37:05,student,student,noun_2syll_word,Word,NoNoise,0,0.1322,2,s1,p3,,,,1,4.3968,,,,
1,2016-10-26 13:37:05,traffic,traffic,noun_2syll_word,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,4.3271,,,,
1,2016-10-26 13:37:05,The corner,corner,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,s2,p3,,,,0,13.3453,The roundabout,s2,assoc,
2,2016-10-26 13:41:32,bar,bar (stick),noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p3,,,,1,3.9523,,,,
2,2016-10-26 13:41:32,lady,lady,noun_2syll_word,Word,NoNoise,0,0.1375,2,p2,s2,,,,1,3.7852,,,,
2,2016-10-26 13:41:32,cloud,cloud,noun_1syll_word,Word,NoNoise,0,0.1322,2,p2,s2,,,,1,4.1017,,,,
2,2016-10-26 13:41:32,The neck,neck,noun_1syll_phrase,Word,NoNoise,0,0.1,2,p2,s1,,,,1,4.4248,,,,
2,2016-10-26 13:41:32,The chocolate,chocolate,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,p2,s2,,,,1,6.7952,,,,
2,2016-10-26 13:41:32,The medal,medal,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,p2,s1,,,,0,13.1206,The trophy,s1,coord,
2,2016-10-26 13:41:32,The cup,cup,noun_1syll_phrase,Word,NoNoise,0,0.1,2,p1,s2,,,,1,6.9421,,,,
2,2016-10-26 13:41:32,heart,heart,noun_1syll_word,Word,NoNoise,0,0.1,2,s1,p2,,,,1,5.3083,,,,
2,2016-10-26 13:41:32,dinner,dinner,noun_2syll_word,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,4.5172,,,,
2,2016-10-26 13:41:32,The page,page,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,6.0432,,,,
2,2016-10-26 13:41:32,The duck,duck,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,5.3163,,,,
2,2016-10-26 13:41:32,snow,snow,noun_1syll_word,Word,NoNoise,0,0.1322,2,p2,s2,,,,1,5.3121,,,,
2,2016-10-26 13:41:32,a church,church,noun_1syll_phrase,Word,NoNoise,0,0.1,2,s2,p2,,,,1,3.7328,,,,
2,2016-10-26 13:41:32,The pool,pool,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,5.2281,,,,
2,2016-10-26 13:41:32,The step,step,noun_1syll_phrase,Word,NoNoise,0,0.1375,2,p3,s1,,,,1,6.7876,,,,
3,2016-10-26 13:46:32,the sauce,sauce,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,4.4624,,,,
