block idx,date start,challenge item name,lexical item name,linguistic category,E/M/H,noise,un/trained,difficulty rating,distractor num,foil 1,foil 2,foil 3,foil 4,foil 5,accuracy,rt (sec),incorrect-foil name,incorrect-foil type,incorrect-foil p-type,
3,2017-01-04 14:45:24,student,student,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
3,2017-01-04 14:45:24,The army,army,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
3,2017-01-04 14:45:24,The blood,blood,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
3,2017-01-04 14:45:24,bag,bag,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
3,2017-01-04 14:45:24,email,email,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
3,2017-01-04 14:45:24,prison,prison,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
3,2017-01-04 14:45:24,blood,blood,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,0,,,,,
3,2017-01-04 14:45:24,air,air,noun_1syll_word,Word,NoNoise,0,0.1375,2,,,,,,0,,,,,
3,2017-01-04 14:45:24,The camera,camera,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
3,2017-01-04 14:45:24,castle,castle,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
4,2017-01-09 12:53:01,The band,band,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
4,2017-01-09 12:53:01,cake,cake,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
4,2017-01-09 12:53:01,The egg,egg,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
4,2017-01-09 12:53:01,The suit,suit,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
4,2017-01-09 12:53:01,the brother,brother,noun_2syll_phrase,Word,NoNoise,0,0.1375,2,,,,,,1,,,,,
4,2017-01-09 12:53:01,pocket,pocket,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
4,2017-01-09 12:53:01,the driver,driver,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
4,2017-01-09 12:53:01,The hall,hall,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
4,2017-01-09 12:53:01,The wine,wine,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
4,2017-01-09 12:53:01,The stone,stone,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
4,2017-01-09 12:53:01,The match,match,noun_1syll_phrase,Word,NoNoise,0,0.1375,2,,,,,,1,,,,,
4,2017-01-09 12:53:01,chocolate,chocolate,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
4,2017-01-09 12:53:01,the hat,hat,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
