linguistic category,block type,% corect,% incorrect-phonological,% incorrect-semantic,% incorrect-unrelated,
noun_2syll_word,unforced,86.91,5.67,7.42,0,
noun_2syll_word,forced,90.18,0.89,8.93,0,
noun_2syll_word,noise,91.83,3.85,4.33,0,
noun_intransitive,unforced,87.8,5.42,4.75,2.03,
noun_intransitive,forced,81.18,8.24,10.59,0,
noun_intransitive,noise,93.44,0,4.92,1.64,
noun_ditransitive,unforced,86.67,9.52,0.95,2.86,
noun_ditransitive,forced,66.67,16.67,16.67,0,
noun_ditransitive,noise,93.33,6.67,0,0,
tense_simple,unforced,58.44,0,0,41.56,
tense_simple,forced,,,,,
tense_simple,noise,65.22,0,0,34.78,
verb_transitivePP,unforced,78.44,8.15,9.17,4.24,
verb_transitivePP,forced,76.92,12.82,10.26,0,
verb_transitivePP,noise,90.77,1.54,5.38,2.31,
