linguistic category,block type,% corect,% incorrect-phonological,% incorrect-semantic,% incorrect-unrelated,
noun_transitivePP,unforced,91.6,2.61,4.77,1.02,
noun_transitivePP,forced,86.21,7.76,6.03,0,
noun_transitivePP,noise,92.02,2.82,3.29,1.88,
noun_ditransitive,unforced,89.17,3.33,7.5,0,
noun_ditransitive,forced,40,60,0,0,
noun_ditransitive,noise,81.82,9.09,9.09,0,
tense_simple,unforced,62.59,0,0,37.41,
tense_simple,forced,,,,,
tense_simple,noise,72.41,0,0,27.59,
